Date	Data	Err-	Err+
1865-01-01	-0.2297	0.1618	0.1618
1865-02-01	-0.5129	0.2302	0.2302
1865-03-01	-0.7171	0.2152	0.2152
1865-04-01	-0.5454	0.1648	0.1648
1865-05-01	-0.4949	0.1476	0.1476
1865-06-01	-0.2513	0.1326	0.1326
1865-07-01	-0.2965	0.1386	0.1386
1865-08-01	-0.2469	0.1334	0.1334
1865-09-01	-0.2326	0.1342	0.1342
1865-10-01	-0.3287	0.1277	0.1277
1865-11-01	-0.3380	0.1301	0.1301
1865-12-01	-0.5129	0.1620	0.1620
1866-01-01	-0.2304	0.1670	0.1670
1866-02-01	-0.4721	0.1831	0.1831
1866-03-01	-0.7483	0.1943	0.1943
1866-04-01	-0.5492	0.1633	0.1633
1866-05-01	-0.5993	0.1572	0.1572
1866-06-01	-0.1297	0.1365	0.1365
1866-07-01	-0.0532	0.1302	0.1302
1866-08-01	-0.2914	0.1322	0.1322
1866-09-01	-0.4619	0.1308	0.1308
1866-10-01	-0.4598	0.1123	0.1123
1866-11-01	-0.3634	0.1193	0.1193
1866-12-01	-0.4433	0.1483	0.1483
1867-01-01	-0.5012	0.1682	0.1682
1867-02-01	-0.4076	0.2081	0.2081
1867-03-01	-0.7115	0.1877	0.1877
1867-04-01	-0.4893	0.1599	0.1599
1867-05-01	-0.6158	0.1574	0.1574
1867-06-01	-0.3497	0.1406	0.1406
1867-07-01	-0.2586	0.1331	0.1331
1867-08-01	-0.3253	0.1397	0.1397
1867-09-01	-0.1938	0.1297	0.1297
1867-10-01	-0.1567	0.1179	0.1179
1867-11-01	-0.2908	0.1228	0.1228
1867-12-01	-0.4925	0.1435	0.1435
1868-01-01	-0.7066	0.1805	0.1805
1868-02-01	-0.7107	0.2088	0.2088
1868-03-01	-0.3315	0.1929	0.1929
1868-04-01	-0.3836	0.1519	0.1519
1868-05-01	-0.2822	0.1542	0.1542
1868-06-01	-0.2976	0.1267	0.1267
1868-07-01	-0.0465	0.1227	0.1227
1868-08-01	-0.1950	0.1326	0.1326
1868-09-01	-0.3750	0.1109	0.1109
1868-10-01	-0.2431	0.1009	0.1009
1868-11-01	-0.4506	0.1244	0.1244
1868-12-01	-0.3350	0.1316	0.1316
1869-01-01	-0.3041	0.1509	0.1509
1869-02-01	0.1374	0.1646	0.1646
1869-03-01	-0.6509	0.1667	0.1667
1869-04-01	-0.4116	0.1490	0.1490
1869-05-01	-0.3108	0.1305	0.1305
1869-06-01	-0.3964	0.1294	0.1294
1869-07-01	-0.4317	0.1219	0.1219
1869-08-01	-0.1784	0.1284	0.1284
1869-09-01	-0.1691	0.1044	0.1044
1869-10-01	-0.2909	0.0844	0.0844
1869-11-01	-0.2911	0.0990	0.0990
1869-12-01	-0.5246	0.1235	0.1235
1870-01-01	-0.2144	0.1145	0.1145
1870-02-01	-0.4571	0.1172	0.1172
1870-03-01	-0.4953	0.1332	0.1332
1870-04-01	-0.3571	0.1206	0.1206
1870-05-01	-0.3039	0.1237	0.1237
1870-06-01	-0.2068	0.1156	0.1156
1870-07-01	-0.0832	0.1068	0.1068
1870-08-01	-0.2555	0.1281	0.1281
1870-09-01	-0.2018	0.1090	0.1090
1870-10-01	-0.4278	0.1099	0.1099
1870-11-01	-0.2553	0.1123	0.1123
1870-12-01	-0.6750	0.1393	0.1393
1871-01-01	-0.5915	0.1367	0.1367
1871-02-01	-0.6884	0.1466	0.1466
1871-03-01	-0.1714	0.1545	0.1545
1871-04-01	-0.2224	0.1161	0.1161
1871-05-01	-0.3484	0.1244	0.1244
1871-06-01	-0.2698	0.1195	0.1195
1871-07-01	-0.0727	0.1103	0.1103
1871-08-01	-0.3237	0.1124	0.1124
1871-09-01	-0.3571	0.1058	0.1058
1871-10-01	-0.3734	0.0948	0.0948
1871-11-01	-0.5423	0.1184	0.1184
1871-12-01	-0.5201	0.1386	0.1386
1872-01-01	-0.5939	0.1271	0.1271
1872-02-01	-0.6274	0.1394	0.1394
1872-03-01	-0.5185	0.1463	0.1463
1872-04-01	-0.3662	0.1276	0.1276
1872-05-01	-0.1213	0.1156	0.1156
1872-06-01	-0.2669	0.1108	0.1108
1872-07-01	-0.1095	0.1060	0.1060
1872-08-01	0.0327	0.1180	0.1180
1872-09-01	-0.1553	0.0991	0.0991
1872-10-01	-0.1744	0.0874	0.0874
1872-11-01	-0.2919	0.0954	0.0954
1872-12-01	-0.5209	0.1184	0.1184
1873-01-01	-0.2368	0.1117	0.1117
1873-02-01	-0.2724	0.1446	0.1446
1873-03-01	-0.3901	0.1198	0.1198
1873-04-01	-0.4621	0.1087	0.1087
1873-05-01	-0.3187	0.1073	0.1073
1873-06-01	-0.2967	0.1078	0.1078
1873-07-01	-0.1578	0.1081	0.1081
1873-08-01	-0.2166	0.1026	0.1026
1873-09-01	-0.3776	0.1004	0.1004
1873-10-01	-0.3765	0.0881	0.0881
1873-11-01	-0.4293	0.1002	0.1002
1873-12-01	-0.3195	0.1332	0.1332
1874-01-01	-0.1817	0.1266	0.1266
1874-02-01	-0.4286	0.1196	0.1196
1874-03-01	-0.6643	0.1274	0.1274
1874-04-01	-0.4215	0.1082	0.1082
1874-05-01	-0.3108	0.1273	0.1273
1874-06-01	-0.5556	0.1148	0.1148
1874-07-01	-0.1706	0.1068	0.1068
1874-08-01	-0.2875	0.1152	0.1152
1874-09-01	-0.1597	0.0939	0.0939
1874-10-01	-0.4668	0.0860	0.0860
1874-11-01	-0.4218	0.1063	0.1063
1874-12-01	-0.3160	0.1257	0.1257
1875-01-01	-0.5756	0.1111	0.1111
1875-02-01	-0.4427	0.1181	0.1181
1875-03-01	-0.5592	0.1145	0.1145
1875-04-01	-0.3403	0.1051	0.1051
1875-05-01	-0.2512	0.1015	0.1015
1875-06-01	-0.2650	0.1087	0.1087
1875-07-01	-0.1809	0.1009	0.1009
1875-08-01	-0.2272	0.1151	0.1151
1875-09-01	-0.2368	0.1033	0.1033
1875-10-01	-0.2297	0.0872	0.0872
1875-11-01	-0.5070	0.1059	0.1059
1875-12-01	-0.5855	0.1126	0.1126
1876-01-01	-0.5027	0.1085	0.1085
1876-02-01	-0.3276	0.1110	0.1110
1876-03-01	-0.3379	0.1354	0.1354
1876-04-01	-0.3943	0.1154	0.1154
1876-05-01	-0.5482	0.1087	0.1087
1876-06-01	-0.3242	0.1107	0.1107
1876-07-01	-0.2006	0.0995	0.0995
1876-08-01	-0.3257	0.1192	0.1192
1876-09-01	-0.4358	0.1115	0.1115
1876-10-01	-0.3057	0.0906	0.0906
1876-11-01	-0.6008	0.1038	0.1038
1876-12-01	-0.6268	0.1262	0.1262
1877-01-01	-0.4090	0.1042	0.1042
1877-02-01	-0.1948	0.1079	0.1079
1877-03-01	-0.0702	0.1092	0.1092
1877-04-01	-0.3158	0.1024	0.1024
1877-05-01	-0.4035	0.1014	0.1014
1877-06-01	-0.1095	0.1076	0.1076
1877-07-01	0.0166	0.1053	0.1053
1877-08-01	0.2297	0.1109	0.1109
1877-09-01	0.1274	0.0927	0.0927
1877-10-01	0.1246	0.0946	0.0946
1877-11-01	0.0430	0.0941	0.0941
1877-12-01	-0.0277	0.1166	0.1166
1878-01-01	-0.0405	0.0970	0.0970
1878-02-01	0.2612	0.1092	0.1092
1878-03-01	0.4030	0.1205	0.1205
1878-04-01	0.2096	0.0962	0.0962
1878-05-01	-0.0917	0.1046	0.1046
1878-06-01	0.0182	0.1081	0.1081
1878-07-01	-0.0617	0.1029	0.1029
1878-08-01	-0.0449	0.1082	0.1082
1878-09-01	0.0278	0.0922	0.0922
1878-10-01	-0.1477	0.0863	0.0863
1878-11-01	-0.1189	0.1017	0.1017
1878-12-01	-0.2904	0.1146	0.1146
1879-01-01	-0.2122	0.1049	0.1049
1879-02-01	-0.2373	0.1120	0.1120
1879-03-01	-0.2468	0.1120	0.1120
1879-04-01	-0.3566	0.1030	0.1030
1879-05-01	-0.3301	0.0941	0.0941
1879-06-01	-0.2498	0.0963	0.0963
1879-07-01	-0.2727	0.0973	0.0973
1879-08-01	-0.2622	0.1075	0.1075
1879-09-01	-0.2290	0.0926	0.0926
1879-10-01	-0.1503	0.0889	0.0889
1879-11-01	-0.3754	0.1133	0.1133
1879-12-01	-0.5423	0.1303	0.1303
1880-01-01	-0.3816	0.1041	0.1041
1880-02-01	-0.4331	0.1030	0.1030
1880-03-01	-0.1816	0.1197	0.1197
1880-04-01	-0.3249	0.1152	0.1152
1880-05-01	-0.3183	0.0991	0.0991
1880-06-01	-0.3668	0.0950	0.0950
1880-07-01	-0.3200	0.0916	0.0916
1880-08-01	-0.0949	0.1041	0.1041
1880-09-01	-0.2884	0.0906	0.0906
1880-10-01	-0.3753	0.0748	0.0748
1880-11-01	-0.2591	0.1038	0.1038
1880-12-01	-0.2940	0.1295	0.1295
1881-01-01	-0.1739	0.1014	0.1014
1881-02-01	-0.1996	0.1067	0.1067
1881-03-01	-0.2154	0.1116	0.1116
1881-04-01	-0.0534	0.0908	0.0908
1881-05-01	-0.0987	0.0990	0.0990
1881-06-01	-0.3896	0.1024	0.1024
1881-07-01	-0.1827	0.0954	0.0954
1881-08-01	-0.1318	0.1040	0.1040
1881-09-01	-0.2867	0.0882	0.0882
1881-10-01	-0.2170	0.0791	0.0791
1881-11-01	-0.3699	0.0979	0.0979
1881-12-01	-0.2374	0.1094	0.1094
1882-01-01	-0.0118	0.0901	0.0901
1882-02-01	-0.0981	0.0899	0.0899
1882-03-01	-0.1460	0.0959	0.0959
1882-04-01	-0.2892	0.0876	0.0876
1882-05-01	-0.2898	0.0896	0.0896
1882-06-01	-0.3581	0.0973	0.0973
1882-07-01	-0.3078	0.0923	0.0923
1882-08-01	-0.2239	0.1050	0.1050
1882-09-01	-0.1453	0.0905	0.0905
1882-10-01	-0.3824	0.0806	0.0806
1882-11-01	-0.3851	0.0958	0.0958
1882-12-01	-0.6278	0.1139	0.1139
1883-01-01	-0.4403	0.0837	0.0837
1883-02-01	-0.4484	0.0921	0.0921
1883-03-01	-0.2487	0.0873	0.0873
1883-04-01	-0.4166	0.0838	0.0838
1883-05-01	-0.3235	0.0903	0.0903
1883-06-01	-0.1592	0.0950	0.0950
1883-07-01	-0.2155	0.0820	0.0820
1883-08-01	-0.2777	0.0969	0.0969
1883-09-01	-0.3012	0.0801	0.0801
1883-10-01	-0.3232	0.0742	0.0742
1883-11-01	-0.3733	0.0954	0.0954
1883-12-01	-0.4031	0.1081	0.1081
1884-01-01	-0.4260	0.0964	0.0964
1884-02-01	-0.3104	0.0888	0.0888
1884-03-01	-0.4914	0.0955	0.0955
1884-04-01	-0.4687	0.0822	0.0822
1884-05-01	-0.5461	0.0799	0.0799
1884-06-01	-0.4881	0.0901	0.0901
1884-07-01	-0.5557	0.0836	0.0836
1884-08-01	-0.4198	0.0954	0.0954
1884-09-01	-0.4978	0.0794	0.0794
1884-10-01	-0.4483	0.0742	0.0742
1884-11-01	-0.5693	0.0967	0.0967
1884-12-01	-0.4720	0.1118	0.1118
1885-01-01	-0.6448	0.0896	0.0896
1885-02-01	-0.5387	0.0909	0.0909
1885-03-01	-0.4076	0.0856	0.0856
1885-04-01	-0.6183	0.0754	0.0754
1885-05-01	-0.5920	0.0832	0.0832
1885-06-01	-0.6259	0.0926	0.0926
1885-07-01	-0.4087	0.0853	0.0853
1885-08-01	-0.3961	0.0937	0.0937
1885-09-01	-0.3477	0.0819	0.0819
1885-10-01	-0.3461	0.0743	0.0743
1885-11-01	-0.3678	0.0832	0.0832
1885-12-01	-0.2040	0.1066	0.1066
1886-01-01	-0.4579	0.0765	0.0765
1886-02-01	-0.4703	0.0746	0.0746
1886-03-01	-0.4666	0.0742	0.0742
1886-04-01	-0.3433	0.0728	0.0728
1886-05-01	-0.2794	0.0843	0.0843
1886-06-01	-0.4983	0.0882	0.0882
1886-07-01	-0.2972	0.0785	0.0785
1886-08-01	-0.4495	0.0976	0.0976
1886-09-01	-0.3802	0.0778	0.0778
1886-10-01	-0.3992	0.0744	0.0744
1886-11-01	-0.4756	0.0856	0.0856
1886-12-01	-0.3806	0.1057	0.1057
1887-01-01	-0.7341	0.0791	0.0791
1887-02-01	-0.6458	0.0784	0.0784
1887-03-01	-0.4351	0.0785	0.0785
1887-04-01	-0.4730	0.0770	0.0770
1887-05-01	-0.5125	0.0889	0.0889
1887-06-01	-0.5117	0.0956	0.0956
1887-07-01	-0.3789	0.0841	0.0841
1887-08-01	-0.4383	0.0983	0.0983
1887-09-01	-0.3789	0.0835	0.0835
1887-10-01	-0.4344	0.0763	0.0763
1887-11-01	-0.4282	0.0870	0.0870
1887-12-01	-0.4893	0.1028	0.1028
1888-01-01	-0.6151	0.0833	0.0833
1888-02-01	-0.5852	0.0890	0.0890
1888-03-01	-0.5926	0.0912	0.0912
1888-04-01	-0.3435	0.0801	0.0801
1888-05-01	-0.3986	0.0896	0.0896
1888-06-01	-0.3146	0.0906	0.0906
1888-07-01	-0.3349	0.0850	0.0850
1888-08-01	-0.3038	0.0983	0.0983
1888-09-01	-0.3202	0.0848	0.0848
1888-10-01	-0.1580	0.0800	0.0800
1888-11-01	-0.2564	0.0894	0.0894
1888-12-01	-0.2482	0.1079	0.1079
1889-01-01	-0.2939	0.0909	0.0909
1889-02-01	-0.0052	0.0927	0.0927
1889-03-01	-0.0793	0.0960	0.0960
1889-04-01	-0.0821	0.0824	0.0824
1889-05-01	-0.1575	0.0893	0.0893
1889-06-01	-0.2160	0.0979	0.0979
1889-07-01	-0.2910	0.0917	0.0917
1889-08-01	-0.3151	0.1002	0.1002
1889-09-01	-0.3493	0.0859	0.0859
1889-10-01	-0.3608	0.0824	0.0824
1889-11-01	-0.5087	0.0839	0.0839
1889-12-01	-0.3460	0.1029	0.1029
1890-01-01	-0.5159	0.0773	0.0773
1890-02-01	-0.4486	0.0890	0.0890
1890-03-01	-0.6164	0.0924	0.0924
1890-04-01	-0.4919	0.0938	0.0938
1890-05-01	-0.5295	0.0916	0.0916
1890-06-01	-0.4847	0.0974	0.0974
1890-07-01	-0.4858	0.0890	0.0890
1890-08-01	-0.4688	0.1032	0.1032
1890-09-01	-0.4766	0.0861	0.0861
1890-10-01	-0.4367	0.0812	0.0812
1890-11-01	-0.6672	0.0839	0.0839
1890-12-01	-0.3808	0.0979	0.0979
1891-01-01	-0.5744	0.0955	0.0955
1891-02-01	-0.5928	0.1023	0.1023
1891-03-01	-0.3558	0.0957	0.0957
1891-04-01	-0.4379	0.0984	0.0984
1891-05-01	-0.3342	0.0977	0.0977
1891-06-01	-0.3654	0.0979	0.0979
1891-07-01	-0.4002	0.0940	0.0940
1891-08-01	-0.3607	0.1085	0.1085
1891-09-01	-0.2614	0.0971	0.0971
1891-10-01	-0.3342	0.0822	0.0822
1891-11-01	-0.5300	0.0886	0.0886
1891-12-01	-0.2233	0.1064	0.1064
1892-01-01	-0.4716	0.0964	0.0964
1892-02-01	-0.2880	0.0963	0.0963
1892-03-01	-0.5216	0.0955	0.0955
1892-04-01	-0.5371	0.1029	0.1029
1892-05-01	-0.4520	0.0979	0.0979
1892-06-01	-0.4316	0.0974	0.0974
1892-07-01	-0.5900	0.1021	0.1021
1892-08-01	-0.5112	0.1067	0.1067
1892-09-01	-0.3872	0.0900	0.0900
1892-10-01	-0.4369	0.0912	0.0912
1892-11-01	-0.6623	0.0913	0.0913
1892-12-01	-0.7892	0.1057	0.1057
1893-01-01	-1.0400	0.0893	0.0893
1893-02-01	-0.8461	0.0903	0.0903
1893-03-01	-0.4215	0.0954	0.0954
1893-04-01	-0.5083	0.0930	0.0930
1893-05-01	-0.5703	0.0966	0.0966
1893-06-01	-0.4526	0.1002	0.1002
1893-07-01	-0.2528	0.0943	0.0943
1893-08-01	-0.2951	0.1080	0.1080
1893-09-01	-0.3691	0.0920	0.0920
1893-10-01	-0.3052	0.0874	0.0874
1893-11-01	-0.4018	0.0881	0.0881
1893-12-01	-0.4767	0.1098	0.1098
1894-01-01	-0.6305	0.0897	0.0897
1894-02-01	-0.4190	0.0986	0.0986
1894-03-01	-0.4981	0.1022	0.1022
1894-04-01	-0.5233	0.0983	0.0983
1894-05-01	-0.5135	0.1029	0.1029
1894-06-01	-0.5800	0.1046	0.1046
1894-07-01	-0.3980	0.1008	0.1008
1894-08-01	-0.3547	0.1075	0.1075
1894-09-01	-0.4397	0.0952	0.0952
1894-10-01	-0.3987	0.0920	0.0920
1894-11-01	-0.4510	0.0929	0.0929
1894-12-01	-0.5385	0.1066	0.1066
1895-01-01	-0.6363	0.0881	0.0881
1895-02-01	-0.6321	0.0963	0.0963
1895-03-01	-0.6096	0.1047	0.1047
1895-04-01	-0.4481	0.1093	0.1093
1895-05-01	-0.4688	0.1015	0.1015
1895-06-01	-0.4206	0.1034	0.1034
1895-07-01	-0.3382	0.0984	0.0984
1895-08-01	-0.3741	0.1069	0.1069
1895-09-01	-0.3884	0.0920	0.0920
1895-10-01	-0.3137	0.0801	0.0801
1895-11-01	-0.3124	0.0823	0.0823
1895-12-01	-0.3598	0.0990	0.0990
1896-01-01	-0.3144	0.0871	0.0871
1896-02-01	-0.3287	0.0922	0.0922
1896-03-01	-0.5803	0.0917	0.0917
1896-04-01	-0.5287	0.0915	0.0915
1896-05-01	-0.3471	0.1100	0.1100
1896-06-01	-0.2236	0.1006	0.1006
1896-07-01	-0.1847	0.0885	0.0885
1896-08-01	-0.1728	0.1062	0.1062
1896-09-01	-0.1551	0.0949	0.0949
1896-10-01	-0.1170	0.0822	0.0822
1896-11-01	-0.3081	0.0832	0.0832
1896-12-01	-0.0825	0.1041	0.1041
1897-01-01	-0.2898	0.0946	0.0946
1897-02-01	-0.3375	0.1010	0.1010
1897-03-01	-0.4101	0.0980	0.0980
1897-04-01	-0.1087	0.0974	0.0974
1897-05-01	-0.1214	0.0958	0.0958
1897-06-01	-0.1698	0.1011	0.1011
1897-07-01	-0.1899	0.0925	0.0925
1897-08-01	-0.1829	0.1098	0.1098
1897-09-01	-0.1764	0.0869	0.0869
1897-10-01	-0.2058	0.0882	0.0882
1897-11-01	-0.4101	0.0817	0.0817
1897-12-01	-0.4533	0.0916	0.0916
1898-01-01	-0.1852	0.0950	0.0950
1898-02-01	-0.5440	0.0844	0.0844
1898-03-01	-0.8334	0.0836	0.0836
1898-04-01	-0.6605	0.0939	0.0939
1898-05-01	-0.5480	0.0920	0.0920
1898-06-01	-0.3343	0.0962	0.0962
1898-07-01	-0.3907	0.0958	0.0958
1898-08-01	-0.3948	0.1044	0.1044
1898-09-01	-0.3599	0.0914	0.0914
1898-10-01	-0.4759	0.0857	0.0857
1898-11-01	-0.4949	0.0805	0.0805
1898-12-01	-0.4668	0.0976	0.0976
1899-01-01	-0.3436	0.0824	0.0824
1899-02-01	-0.5276	0.0823	0.0823
1899-03-01	-0.5634	0.0821	0.0821
1899-04-01	-0.4177	0.0849	0.0849
1899-05-01	-0.3581	0.0920	0.0920
1899-06-01	-0.5072	0.0975	0.0975
1899-07-01	-0.3643	0.0924	0.0924
1899-08-01	-0.2368	0.1083	0.1083
1899-09-01	-0.1430	0.0887	0.0887
1899-10-01	-0.1759	0.0818	0.0818
1899-11-01	-0.0465	0.0794	0.0794
1899-12-01	-0.4475	0.0960	0.0960
1900-01-01	-0.4812	0.0813	0.0813
1900-02-01	-0.1920	0.0795	0.0795
1900-03-01	-0.1989	0.0845	0.0845
1900-04-01	-0.2253	0.0895	0.0895
1900-05-01	-0.3005	0.0926	0.0926
1900-06-01	-0.2233	0.0997	0.0997
1900-07-01	-0.2097	0.0902	0.0902
1900-08-01	-0.2100	0.1072	0.1072
